name,place(ラウンジorメイン),statement,profile image(driveなどのurl / 500px x 500px),,time(e.g. 19:00-20:00),member
electric catfish,main,BravenとSanta NaruseによってIAMASで結成されたAudio/Visualユニット。Live Codingや電磁波、ジェネラティブな表現を探求する。2024年はライブだけじゃなくて音源制作、MV制作にも力を入れたい所存。,https://lh3.googleusercontent.com/pw/AP1GczNmIbFLje1SwTsIMLSp3JT1JEOM-Rv6S_6Vyj09_A8zz_83IxqWq4foBKqLsw3pOu7ckB-Sxhe7_mqMcruBUzI3lcAXWbmwVaTNY8rQPXnZG1MYPHOT14ttUra9FIhHyP6H6gKYNvr_yiZaSTP8GjXcalk1UTJmh2fxJexSPcd6g-FQiejtzJWGY28D4SO0PfFk8YIPGUeUZ6_GWnfcgTi4KHAV3Z__kd-R1Q047DNwXsoDYuFqr6nnWoCofEnws7L4a0h-ElJilXEbZOsIpV184EEhQKhZDi62M0ZWOlEimqKG6ogzf2YMYgS7fmVQ7GfMDCWCi1wZFRiQ8W4o8_gpIlt0BPxNEVWtKDipOObsAoSoZuN8dYvGqCFbe35J4U8ydgz0DmO9QLFyPsXGRuGO807lE2BPaiCiLsYXI523719rJDsxajCNbrH_54ksNtrWh9ubBSFgXP9ln1W_3osBIplLUJk09a397RWigGzT1sLQm7YWTTQKBu2R_f5Zp7F-1dT6n2VF_33ZanD4m7OEKQBJPpGIurM7c2R96Ne4vMNbZdW6tXHJIBzUX4chRKhKoiaNh3qSITYWpqxE-O1v7BdWR_NlOCbYIsoHsYDMgrsCZOdbHp9J-fP0BnymKrSDqSCE_bnXa-wFHg2dTOWEyNNyB8GGhu53ipiDOK_rjNec5i0qZQAhfwInBAMdED7mRsmjYGfhaBt340MC9Xn8EoJGefIIq5-t_34NIGkTC1t6xoROjGGiXvMea7uk0YzhJWCI38a7rFWSMiY2UULU2gGbCl3r2A0jB7HeQeU9GkYg7ATqQualJ_nl4UWR5RvcNHwpM7aOnXt0fWSp9XWEkwsiQGNP6-DHh7asEPvVpIPTG0fRwyYnvl6Rt33OliP6letBAej4fT0VgYWOxXnKRYhWpSUBvwv9g2r4OflLNcjAy3_3ekmxHgJQwQ=w500-h500-s-no-gm?authuser=0,,保留,"Braven Santa Naruse"
jo and< sinking logic,main,knock knock motherfucker it's the united states of america,https://drive.google.com/file/d/1_aOselxnjboK64KQyOcuwNWfxv5m3mto/view?usp=sharing,,late is good,"Joanna Sijia"
hitsujikai,lounge,hitsujikaiは、羊を盗み見る。人を盗み見る。その間を見る。羊は人の間、我らが見るのは人の間、二人による描く、創る、魅せるユニット。,https://drive.google.com/drive/folders/1jJyfK7b5Z7MOUIRkM8p4kt8yoi_4cED1?usp=drive_link,,保留,"Jieyun JUNG Tokubo Haruto"
Atsushi Tadokoro,main,Audio Visualなライブコーディングを激しくパフォーマンスします!,https://drive.google.com/file/d/1UYAJnSKwnhM-FmqEtZpOsS3Db9M1kFcT/view?usp=sharing,,いつでも,Atsushi Tadokoro
Hiroki Matsui,main,ライブコーディングとハードウェアシステム、計画されたタイムラインと即興の間を行ったり来たりします,https://drive.google.com/file/d/1NsIE9OQgZwE1TtemA8RrHAhe6xF4_wWN/view?usp=drivesdk,,保留,-
scuy(v0id),main,楽しみます。,https://drive.google.com/drive/folders/1Lz0w0TuvIvjKP-rsVTIC_qdF752Dg5w3?usp=drive_link,,保留(max 20min),-
Ayumu Nagamatsu,main,ステートメントとはなにかを考えています。,https://drive.google.com/file/d/1jkKDWRvWDyFxy6ykE9qNsfvVChIThWFi/view?usp=drivesdk,,保留,-
Cicero（Shunsuke Kudo × sakamichi）,main,"1/6 of the historical French inch, and is divided into 12 points. MAU EMS.",https://drive.google.com/file/d/15swSePLUSMW-7QL_2F3iEcCsVJFW-8Os/view?usp=drive_link,,保留,-
Ei b2b westape,main ,なんとなく北欧に行きたいです,https://drive.google.com/file/d/1DhIaUUIW2A4I-t-eKOO9Iie_vifxaNAw/view?usp=drive_link,,保留,-
Conjaku,lounge ,テクノ,https://drive.google.com/file/d/104SFCehyhV0gC90GFgJMaHpPn00pf5Vc/view?usp=drive_link,,保留,-
Syoronpo.,main,小籠包を食べる。,https://drive.google.com/file/d/1G2CfLAGmgyLj8UU2zwwq8sOGldJjsb5x/view?usp=drive_link,,保留,-
takuma hamamura,lounge,て・てく・てくの,https://drive.google.com/file/d/1jkKDWRvWDyFxy6ykE9qNsfvVChIThWFi/view?usp=drivesdk,,保留,-
Mio × Kavu,lounge,ハワイは日本に年々近づいているらしい,https://drive.google.com/file/d/1weZb1_zYulHto7z4otutMbmmVuXdbtMv/view?usp=sharing,,保留,Mio Matsui YuikoYamaguchi
JACKSON kaki × msr tainaka,main,"浴槽の中の金魚鉢、そしてミミズ by msr tainaka 結局怖いのが好き by JACKSON kaki",https://drive.google.com/drive/folders/1vfY2lyhqJjLUkmUVFe8TgrmQNau4xJat?usp=sharing,,保留,"JACKSON kaki msr tainaka"
zumisio,main,気合い,https://drive.google.com/drive/folders/1NsP7XMn8XoJdL5nkR-4AiIG9HeKW0n7e?usp=sharing,,保留,Shota SHIOZUMI
マクト,lounge,三波蒼菜とカワイタケシです。,https://drive.google.com/file/d/1Wdk6ZYZnO7r9Txbw5zyPA2_16pPsZxI0/view?usp=share_link,,,"三波蒼菜（aona minami）カワイタケシ（Kawai Takeshi）"
本家元祖総本家本店,,みんな社不だから当日会場に現れるかもわからん笑,https://drive.google.com/file/d/1NnwUYa5mCIAEr3gHX_L-eOjv-DUVrN2r/view?usp=drivesdk,,,"璃月ゆあ  shota shimura 坂根大悟"
Ryu Ishizuka,lounge,Talkboxでチューブを口にくわえてシンセサイザーの音を送り、人間の声のように発声する演奏法と、AIで生成した実験映像のパフォーマンス。,https://drive.google.com/file/d/1JIE0HznhnQBJil18ZIhzD85uW10xpXzm/view?usp=sharing,,保留,Ryu Ishizuka
